,State,County,aqi,ghg,income,pop,plant,weather_epa,weather_meso
166,florida,leon,1.0,1.0,1.0,1.0,1.0,,1.0
2313,florida,levy,,,1.0,1.0,,,
167,florida,liberty,1.0,,1.0,1.0,1.0,,1.0
1142,florida,madison,,1.0,1.0,1.0,,,
168,florida,manatee,1.0,1.0,1.0,1.0,1.0,,1.0
169,florida,marion,1.0,1.0,1.0,1.0,1.0,,1.0
170,florida,martin,1.0,1.0,1.0,1.0,1.0,,1.0
171,florida,miamidade,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1143,florida,monroe,,1.0,1.0,1.0,1.0,,
172,florida,nassau,1.0,1.0,1.0,1.0,1.0,,1.0
173,florida,okaloosa,1.0,,1.0,1.0,,,1.0
1144,florida,okeechobee,,1.0,1.0,1.0,,,
174,florida,orange,1.0,1.0,1.0,1.0,1.0,,1.0
175,florida,osceola,1.0,1.0,1.0,1.0,1.0,,1.0
176,florida,palmbeach,1.0,1.0,1.0,1.0,1.0,,1.0
177,florida,pasco,1.0,1.0,1.0,1.0,1.0,,1.0
178,florida,pinellas,1.0,1.0,1.0,1.0,1.0,1.0,1.0
179,florida,polk,1.0,1.0,1.0,1.0,1.0,,1.0
180,florida,putnam,1.0,1.0,1.0,1.0,1.0,,1.0
181,florida,santarosa,1.0,1.0,1.0,1.0,1.0,,1.0
182,florida,sarasota,1.0,1.0,1.0,1.0,1.0,,1.0
183,florida,seminole,1.0,1.0,1.0,1.0,1.0,,1.0
2314,florida,stjohns,,,1.0,1.0,,,
184,florida,stlucie,1.0,1.0,1.0,1.0,1.0,,1.0
1145,florida,sumter,,1.0,1.0,1.0,,,
1146,florida,suwannee,,1.0,1.0,1.0,1.0,,
1147,florida,taylor,,1.0,1.0,1.0,1.0,,
1148,florida,union,,1.0,1.0,1.0,,,
185,florida,volusia,1.0,1.0,1.0,1.0,1.0,,1.0
186,florida,wakulla,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2315,florida,walton,,,1.0,1.0,,,
1149,florida,washington,,1.0,1.0,1.0,,,
2316,georgia,appling,,,1.0,1.0,1.0,,
1150,georgia,atkinson,,1.0,1.0,1.0,,,
2171,georgia,bacon,,1.0,1.0,1.0,,,
2317,georgia,baker,,,1.0,1.0,,,
2069,georgia,baldwin,,1.0,1.0,1.0,1.0,,
1151,georgia,banks,,1.0,1.0,1.0,,,
1152,georgia,barrow,,1.0,1.0,1.0,1.0,,
